site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
84,48,0,0,0,0,0,805,1682,0,268,492,0,0,0,0,0,82,0,0,0,0,0,0,0,19,929,203,0,748,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
85,64,0,0,0,0,0,0,0,0,0,0,0,33,164,475,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,73,0,,,,,,,,,,,,,,
86,20,0,161,156,0,36,253,0,0,0,0,0,0,0,0,33,0,12,0,63,0,349,1694,860,0,269,54,54,0,0,21,280,192,62,0,0,,,,,,,,,,,,,,,,
87,22,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,3,113,0,0,0,0,0,3,0,0,0,72,0,0,131,0,8,0,,,,,,,,,,,,,,,,
90,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
91,63,0,0,155,0,0,0,0,0,0,216,250,334,0,95,168,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
93,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
94,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
95,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
96,21,88,271,0,0,0,0,217,187,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
101,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
102,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
105,1,0,25,0,0,0,0,0,0,0,21,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,115,64,0,0,140,0,0,0,72,0,0,0,0,0,0,0,0,0,390,184,90,,,,,
106,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,288,132,903,58,21,454,62,0,0,0,0,0,0,0,0,,,
