site,cam_number,cam_moved,sampling_period_length,canopy_cov,biotic_com_2,veg_cover_cam,veg_cover_cam_under_1m,veg_cover,veg_cover_diff,obs_dist,detection_angle,max_trig_dist,vertical_cover,tree_density_5_70,shrub_yucca_density,herbaceous_cov,pred_count_avg,coy_count_avg,bobcat_count_avg,livestock_count_avg,cow_count_avg,sheep_count_avg,lagomorph_count_avg,rodent_count_avg,cottontail_count_avg,jackrabbit_count_avg,prey_count_avg,elevation,slope,topo_pos,heat_load,aspect,dist_water_tank,water_tank_density_0_9km,water_tank_density_1_3km,water_tank_density_1_5_km,water_tank_density_1_6_km,water_tank_density_1_9_km,water_tank_density_2_4_km,water_tank_density_3_7_km,small_rd_dist,turbine_rd_dist,turbine_rd_density_0_1km,turbine_rd_density_0_9km,turbine_rd_density_1_3km,turbine_rd_density_1_5km,turbine_rd_density_1_6km,turbine_rd_density_1_9km,turbine_rd_density_2_4km,turbine_rd_density_3_7km,turbine_density_0_9km,turbine_density_1_3km,turbine_density_1_5km,turbine_density_1_6km,turbine_density_1_9km,turbine_density_2_4km,turbine_density_3_7km,turbine_dist,50cm_turbine_vis,150cm_turbine_vis,turbine_interior,woodland_percent_0_1km,woodland_percent_0_9km,woodland_percent_1_3km,woodland_percent_1_5km,woodland_percent_1_6km,woodland_percent_1_9km,woodland_percent_2_4km,woodland_percent_3_7km,NDVI_0_1km,NDVI_0_9km,NDVI_1_3km,NDVI_1_5km,NDVI_1_6km,NDVI_1_9km,NDVI_2_4km,NDVI_3_7km
96,21,yes,32,10.504,1,0.65,0.85,0.5875,-0.175,12,58,15,7.375,215.2777778,263.8888889,0.151041667,0,0,0,26,26,0,0.125,0.03125,0.03125,0.09375,0.15625,1846.551,3.108736,0.642822266,0.990969654,0.422103376,825.269201,0.393700787,0.188323917,0.141442716,0.124378109,0.176366843,0.110497238,0.139502441,6.199973996,433.3838924,0,0.720192212,0.843364038,0.86347326,0.904533904,0.724901563,0.556544852,0.4899431,0,0,0,0,0,0,0.046500814,3049.23939,29,43,0,0,0.04,1.22,1.33,1.24,2.33,7.01,15.82,0.113,0.112,0.112,0.112,0.112,0.113,0.115,0.117
100,1,no,40,0,1,0.4,0.6,0.35,-0.35,29.66666667,53,15,8.25,291.6666667,6.944444444,0.043402778,0.05,0.05,0,0,0,0,0.175,0,0.175,0,0.175,1859.4408,0.26102671,5.112915039,1.004970907,0.999973206,411.9586755,0.393700787,0.188323917,0.282885431,0.248756219,0.176366843,0.276243094,0.395256917,68.88712561,1316.438594,0,0,0,0.029031371,0.054228332,0.193768867,0.26970571,0.52092437,0,0,0.141442716,0.248756219,0.264550265,0.276243094,0.325505696,1324.674914,13,44,0,0,15.65,25.42,27.32,27.98,29.9,30.59,21.66,0.109,0.114,0.115,0.116,0.116,0.116,0.117,0.116
101,42,no,40,7.228,1,0.125,0.25,0.325,-0.35,44.33333333,40,10,8.125,62.5,520.8333333,0.203125,0.1,0.1,0,0,0,0,0.3,0,0,0.3,0.3,1864.2214,0.90442997,-1.361816406,0.99797594,0.218015905,810.0807356,0.393700787,0.188323917,0.141442716,0.124378109,0.176366843,0.220994475,0.302255289,463.6795865,1093.193717,0,0,0.074094255,0.209624356,0.261578946,0.383257775,0.419631643,0.618849661,0,0.188323917,0.141442716,0.248756219,0.264550265,0.165745856,0.209253662,940.3188667,2,11,0,0,7.51,12.15,11.16,10.35,9.52,13.16,19.44,0.115,0.117,0.118,0.118,0.118,0.117,0.117,0.117
102,41,no,38,0.104,1,0.3,0.55,0.2625,-0.375,15.66666667,34,15,4.5,277.7777778,513.8888889,0.305555556,0,0,0,0,0,0,0.026315789,0,0,0.026315789,0.026315789,1889.6135,3.4990613,-13.79064941,0.970973284,0.996722802,556.4287286,0.393700787,0.376647834,0.424328147,0.497512438,0.440917108,0.331491713,0.255754476,288.7921106,74.48378972,4.298124975,0.987002088,0.741811049,0.676987369,0.646818907,0.666516977,0.687673504,0.679728268,0,0,0,0,0,0,0,5492.372582,0,0,0,0,17.5,17.5,17.66,18.24,19.3,18,20.64,0.112,0.121,0.118,0.118,0.118,0.118,0.118,0.118
105,1,no,46,14.508,1,0.875,0.95,0.6875,-0.225,12.33333333,46,10,8.375,354.1666667,4340.277778,0.036458333,0,0,0,25.10869565,25.10869565,0,0.304347826,0,0.130434783,0.173913043,0.304347826,1953.9604,9.8940182,13.0826416,1.05866277,0.716084086,505.4932022,1.181102362,0.564971751,0.848656294,0.746268657,0.529100529,0.386740331,0.255754476,1.862754627,1140.031357,0,0,0.261306002,0.43053228,0.430095295,0.426881018,0.385926534,0.484989483,0,0,0,0,0,0,0,7115.027651,0,0,0,0,14.29,21.69,22.58,24.63,27.85,29.12,31.6,0.115,0.112,0.114,0.115,0.115,0.116,0.118,0.119
106,61,yes,48,3.328,1,0.45,0.6,0.3375,-0.275,24.33333333,42,15,16.625,166.6666667,118.0555556,0.157986111,0,0,0,49.8125,49.8125,0,0,0,0,0,0,1878.1144,3.0888186,-12.81079102,1.005587544,0.080160674,731.2684347,0.393700787,0.376647834,0.282885431,0.373134328,0.440917108,0.331491713,0.255754476,115.2754289,1691.562817,0,0,0,0,0,0.02136738,0.042500106,0.204561144,0,0,0,0,0,0,0,8327.253703,0,0,0,0,24.58,29.91,30.41,29.94,29.67,27.1,28.01,0.105,0.117,0.118,0.119,0.119,0.118,0.118,0.12
116,55,no,41,39.104,2,0.575,0.55,0.8125,0.075,16,44,15,14.5,847.2222222,819.4444444,0.046875,0.048780488,0.048780488,0,3.365853659,0.658536585,0,0.243902439,0,0,0.243902439,0.243902439,1719.314,2.5746808,-6.176269531,1.008376014,0.10849618,584.7728498,0.787401575,0.376647834,0.282885431,0.248756219,0.176366843,0.110497238,0.046500814,83.15102713,10281.27288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10679.74503,0,0,0,0,10.66,13.31,13.25,13.08,12.79,11.99,13.53,0.127,0.122,0.122,0.122,0.122,0.122,0.121,0.12
122,24,no,50,29.64,2,0.55,0.6,0.8875,0.175,13,55,15,4,659.7222222,298.6111111,0.114583333,0.34,0.18,0.16,5.44,5.44,0,1.48,0,0.88,0.6,1.48,1784.1533,2.8201845,-1.674926758,1.020946067,0.46384738,3600.728135,0,0,0,0,0,0,0.069751221,112.1998653,6547.778297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9268.031819,0,0,0,66.67,30.08,31.95,31.01,30.61,29.77,26.49,20.07,0.118,0.114,0.114,0.115,0.115,0.116,0.116,0.117
132,67,no,41,57.512,2,0.95,0.9,0.775,0.1,10.33333333,33,10,5.125,694.4444444,41.66666667,0.161458333,0.487804878,0,0.487804878,0,0,0,0,0,0,0,0,1880.1071,2.2356396,1.919189453,1.007999048,0.651154206,981.9142801,0,0.376647834,0.707213579,0.870646766,0.881834215,0.662983425,0.558009765,278.0084772,94.0238696,2.185771377,0.616223608,0.370768359,0.469741645,0.61592217,0.59838399,0.659342573,0.499204996,1.57480315,0.941619586,0.707213579,0.870646766,0.793650794,0.939226519,0.581260172,148.5706013,1.3,1.6,1,91.67,67.34,51.92,45.56,43.96,39.91,34.78,22.66,0.125,0.125,0.123,0.122,0.121,0.119,0.116,0.114
140,14,no,38,52.052,2,0.625,0.65,0.675,-0.05,9.333333333,45,15,6.375,888.8888889,173.6111111,0.060763889,0.157894737,0.078947368,0.078947368,0,0,0,1.263157895,0,1.263157895,0,1.263157895,1832.3462,1.3245925,-0.489379883,1.000889561,0.639444667,485.077686,0.787401575,0.753295669,0.707213579,0.621890547,0.529100529,0.552486188,0.395256917,413.6832196,554.6152582,0,0.251288767,0.196933031,0.177557257,0.169162685,0.147864399,0.198213369,0.360655827,0.787401575,0.376647834,0.424328147,0.373134328,0.352733686,0.331491713,0.465008138,633.7049249,0,0.6,0,100,82.49,72.16,66.33,63.44,56.9,47.75,32.17,0.131,0.13,0.127,0.126,0.126,0.124,0.122,0.117
158,46,no,42,7.228,1,0.3,0.35,0.475,-0.25,28,40,10,11.625,138.8888889,562.5,0.220486111,0.476190476,0.476190476,0,0,0,0,0.30952381,0,0,0.30952381,0.30952381,1814.5035,0.71141577,-6.258056641,1.006296034,0.283525642,737.0724065,0.787401575,0.376647834,0.424328147,0.373134328,0.440917108,0.497237569,0.465008138,717.3593319,1903.281226,0,0,0,0,0,0,0.028141407,0.133972141,0,0,0,0,0,0.110497238,0.209253662,1914.564116,0,0,0,71.43,51.18,45.56,43.68,42.54,39.93,35.81,25.25,0.125,0.121,0.12,0.119,0.119,0.118,0.116,0.113
165,23,no,42,29.432,2,0.9,0.9,0.725,-0.25,16.66666667,46,10,17.25,1013.888889,770.8333333,0.017361111,0.357142857,0.023809524,0.333333333,0,0,0,0.452380952,0,0.19047619,0.261904762,0.452380952,1866.0817,1.5877957,1.210327148,0.992182467,0.45184632,745.1394982,0.393700787,0.753295669,0.707213579,0.746268657,0.881834215,0.828729282,0.697512206,363.2057881,317.0266945,0,1.168993566,0.838769907,0.773172729,0.76478998,0.888926523,0.75549726,0.6370134,1.181102362,0.753295669,0.848656294,0.870646766,1.14638448,0.939226519,0.837014648,350.5112913,0.6,2.6,1,50,28.68,28.69,27.26,27.7,27.08,26.31,24.1,0.129,0.112,0.11,0.11,0.11,0.109,0.109,0.11
168,5,no,35,25.636,2,0.425,0.6,0.6375,-0.325,17,58,15,8.75,125,416.6666667,0.088541667,0.685714286,0.428571429,0.257142857,1.485714286,0.085714286,0,0,0,0,0,0,1921.3167,3.1340334,-8.710693359,1.014457208,0.621898862,1927.111195,0,0,0,0,0,0.110497238,0.255754476,1078.005681,106.277936,0,1.169641249,1.27940768,1.275928249,1.272528737,1.273708314,1.036653706,0.858304857,0,0.188323917,0.424328147,0.497512438,0.529100529,0.386740331,0.162752848,1269.180013,1.3,2,1,0,48.09,50.36,48.36,47.69,46.4,40.76,37.54,0.123,0.126,0.126,0.126,0.127,0.127,0.125,0.123
173,10,no,38,3.016,1,0.125,0.25,0.3875,-0.175,29.66666667,34,30,7.125,76.38888889,847.2222222,0.138888889,0.078947368,0.078947368,0,0,0,0,1.026315789,0,0,1.026315789,1.026315789,1801.8485,2.6847496,5.686889648,0.978231147,0.682811786,822.8272055,0.393700787,0.564971751,0.424328147,0.373134328,0.352733686,0.44198895,0.37200651,137.5136443,2210.35343,0,0,0,0,0,0,0.017671188,0.048558259,0,0,0,0,0,0.055248619,0.093001628,2201.992881,5.3,15.3,0,0,0,0.68,1.76,2.54,4.65,7.92,13.75,0.107,0.102,0.103,0.103,0.104,0.105,0.106,0.109
183,19,no,36,2.288,1,0.3,0.35,0.1875,-0.125,32.66666667,49,10,14.625,159.7222222,27.77777778,0.126736111,0,0,0,0,0,0,0.472222222,0,0,0.472222222,0.472222222,1913.3263,0.97278088,1.899902344,1.007972672,0.00417796,785.4157416,0.393700787,0.564971751,0.848656294,0.746268657,0.705467372,0.552486188,0.395256917,272.7975548,374.2837674,0,1.004394821,0.891136799,0.956144374,0.886966559,0.720646702,0.601639337,0.657244334,0,0.188323917,0.282885431,0.248756219,0.176366843,0.220994475,0.37200651,1120.77049,30,24.6,0,0,11.23,17.36,17.69,17.63,19.84,24.23,20.49,0.097,0.109,0.112,0.113,0.113,0.114,0.115,0.117
189,47,no,46,1.04,1,0.125,0.25,0.1875,-0.125,38.33333333,39,15,7,6.944444444,111.1111111,0.126736111,0.065217391,0.065217391,0,0,0,0,0.52173913,0,0,0.52173913,0.52173913,1858.6107,1.2458794,2.061523438,0.992625266,0.290650139,1161.173004,0,0.188323917,0.141442716,0.124378109,0.352733686,0.44198895,0.325505696,96.23290268,1103.063265,0,0,0.259503218,0.281337973,0.281168726,0.292128363,0.290857895,0.287038766,0,0,0,0,0,0.110497238,0.348756103,1900.919599,14.6,29.3,0,0,0,0,0.01,0.01,0.03,1.55,5.55,0.097,0.098,0.099,0.099,0.099,0.099,0.101,0.104
190,33,no,41,0,1,0.1,0.2,0.0875,-0.175,168,32,15,9.375,34.72222222,368.0555556,0.069444444,0.195121951,0.195121951,0,0,0,0,3.097560976,0.024390244,0.024390244,3.097560976,3.12195122,1845.3483,1.894878,1.163452148,0.99587258,0.683141197,365.7257885,0.393700787,0.941619586,0.848656294,0.870646766,0.793650794,0.773480663,0.558009765,74.95744755,139.766485,0,1.642309675,1.212243562,1.116130215,1.069101509,0.944902652,0.825033536,0.586806594,1.181102362,1.129943503,1.272984441,1.243781095,0.970017637,1.049723757,0.697512206,505.5951197,33,77,1,0,8.68,15.2,17.4,18.39,19.97,21.3,23.18,0.1,0.104,0.106,0.106,0.107,0.107,0.108,0.109
191,70,no,41,3.536,1,0.875,0.75,0.6,0.05,9,38,19,0.375,41.66666667,291.6666667,0.126736111,0,0,0,0,0,0,2.731707317,0,0.87804878,1.853658537,2.731707317,1821.1783,0.58485812,2.32409668,1.003389277,0.955966927,867.8609975,0.393700787,0.376647834,0.424328147,0.373134328,0.529100529,0.386740331,0.255754476,59.45602135,1571.914036,0,0,0,0,0.005129292,0.039773244,0.057014317,0.096478017,0,0,0,0.124378109,0.088183422,0.165745856,0.162752848,1577.749251,10.6,24.3,0,0,0,0.1,0.08,0.08,0.06,0.12,1.11,0.112,0.108,0.106,0.105,0.105,0.105,0.104,0.103
193,7,no,40,0,1,0,0,0,0,93,34,15,1.25,0,27.77777778,0.217013889,0,0,0,0,0,0,0.15,0,0,0.15,0.15,1774.8478,2.1444025,-5.606079102,1.010412793,0.000397734,797.553109,0.393700787,0.188323917,0.141442716,0.124378109,0.088183422,0.165745856,0.255754476,162.384154,6060.536266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5998.866218,0,0,0,0,0,0,0,0,0,0,0,0.103,0.108,0.108,0.108,0.107,0.107,0.106,0.104
194,63,yes,32,0,1,0,0,0.1875,-0.125,113,46,10,3.25,13.88888889,6.944444444,0.178819444,0,0,0,115.6875,115,0.6875,0.28125,0.03125,0,0.25,0.3125,1891.0916,0.94325626,-0.269042969,1.003059546,0.85303039,1146.143437,0,0.376647834,0.424328147,0.373134328,0.529100529,0.44198895,0.511508951,895.7622106,49.77931063,5.590783717,1.276090625,0.934891912,0.836110082,0.85489297,0.750573869,0.692097787,0.553748502,1.57480315,1.31826742,0.99009901,1.119402985,0.881834215,0.718232044,0.604510579,127.8006941,37,88,1,0,0.49,2.37,5.73,7.3,11.83,14.99,17.81,0.107,0.107,0.109,0.111,0.111,0.112,0.112,0.114
195,68,no,41,0.208,1,0.575,0.75,0.5625,-0.375,8.666666667,46,10,7.125,27.77777778,770.8333333,0.079861111,0.170731707,0.146341463,0.024390244,0,0,0,0.390243902,0,0.341463415,0.048780488,0.390243902,1806.3208,1.4232907,1.362670898,1.010683375,0.542335363,743.3782137,0.787401575,0.376647834,0.282885431,0.248756219,0.176366843,0.165745856,0.186003255,96.33389588,3118.425319,0,0,0,0,0,0,0,0.027322829,0,0,0,0,0,0,0.069751221,3122.819419,8,12,0,0,0,0,0,0,0,0,0.01,0.11,0.111,0.108,0.107,0.107,0.105,0.104,0.102
196,57,no,31,1.872,1,0.45,0.6,0.7125,-0.225,40.66666667,33,15,22.375,368.0555556,13.88888889,0.151041667,0.516129032,0.516129032,0,9.096774194,9.096774194,0,0.096774194,0,0,0.096774194,0.096774194,1826.9578,1.6915988,0.825561523,1.003471381,0.573582714,291.4621707,0.393700787,0.188323917,0.141442716,0.124378109,0.176366843,0.552486188,0.37200651,353.8117063,1030.592655,0,0,0.050570229,0.117869712,0.287388304,0.326614274,0.364474047,0.368474534,0,0.188323917,0.282885431,0.497512438,0.440917108,0.44198895,0.441757731,1078.140264,17,23.6,1,5.56,9.71,9.08,10.52,11.64,14.72,18.78,19.88,0.113,0.108,0.106,0.106,0.106,0.106,0.107,0.107
197,4,no,42,5.096,1,0.325,0.4,0.425,-0.1,31.66666667,49,15,13.75,152.7777778,298.6111111,0.100694444,0,0,0,0,0,0,0.357142857,0,0,0.261904762,0.357142857,1843.9048,2.6956346,2.90637207,0.980506194,0.635502257,739.4020597,0.787401575,0.564971751,0.565770863,0.621890547,0.440917108,0.44198895,0.465008138,96.604067,1107.581218,0,0,0.582384436,0.67670771,0.73358393,0.750366147,0.689691465,0.482418779,0,0.753295669,0.707213579,0.746268657,0.705467372,0.662983425,0.651011393,1140.704656,14,25,1,8.57,0.11,2.41,6.68,8.98,14.26,18.72,21.38,0.109,0.103,0.103,0.104,0.105,0.106,0.107,0.107
198,36,no,31,0,1,0.575,0.65,0.3375,-0.075,17,42,15,8.75,0,0,0.196180556,0.419354839,0.419354839,0,0,0,0,2.322580645,0,0,2.322580645,2.322580645,1810.6653,0.99078935,-2.806274414,1.009886369,0.401614673,707.0801898,0.393700787,0.188323917,0.141442716,0.124378109,0.088183422,0.165745856,0.232504069,36.80942283,3524.972715,0,0,0,0,0,0,0,0.004872337,0,0,0,0,0,0,0.023250407,3530.81263,8.3,24,0,0,0,0,0,0,0,0,0.14,0.108,0.098,0.097,0.098,0.098,0.098,0.098,0.099
200,22,no,40,21.268,2,0.25,0.25,0.6,-0.05,38,38,15,11.625,326.3888889,27.77777778,0.151041667,0.3,0.3,0,0,0,0,3.525,0.075,0.95,2.775,3.6,1845.4961,1.6026434,-2.543579102,0.998755734,0.518498203,566.3383002,0.787401575,0.941619586,0.707213579,0.746268657,0.529100529,0.386740331,0.232504069,298.5529518,1722.029549,0,0,0,0,0,0.018854548,0.098319773,0.248494497,0,0,0,0,0.088183422,0.220994475,0.37200651,1721.785493,1,11,0,0,1.81,3.51,4.25,4.62,5.13,5.57,4.47,0.108,0.105,0.104,0.104,0.104,0.104,0.104,0.104
201,20,no,39,0,1,0.4,0.7,0.25,-0.35,27.33333333,31,25,1.5,0,0,0.210069444,0,0,0,0,0,0,2.025641026,0,0.076923077,1.948717949,2.025641026,1845.4845,1.6079385,0.378295898,1.002396003,0.788741909,1062.436649,0,0.188323917,0.141442716,0.124378109,0.176366843,0.44198895,0.255754476,380.4273517,318.182536,0,0.532082279,0.331939908,0.277893687,0.25702273,0.208855434,0.232903294,0.19662605,1.181102362,0.564971751,0.424328147,0.373134328,0.264550265,0.386740331,0.325505696,368.1846412,26,59,0,0,0,0,0,0.04,0.06,0.84,7.03,0.106,0.103,0.105,0.106,0.107,0.108,0.108,0.109
202,65,no,38,26.416,2,0.35,0.1,0.3875,0.075,14.66666667,32,10,4,409.7222222,41.66666667,0.09375,0.473684211,0.157894737,0.315789474,0,0,0,2.710526316,0,0,2.710526316,2.710526316,1947.2225,1.694821,-3.848510742,0.990728958,0.851740092,984.1579575,0,0.376647834,0.282885431,0.248756219,0.352733686,0.220994475,0.209253662,138.0701315,809.0971869,0,0.266710114,0.65097241,0.782156439,0.815631353,1.008963402,0.965966735,0.856958811,0,0,0,0,0.176366843,0.220994475,0.162752848,1726.336394,1.3,2.3,0,37.5,48.57,45.37,44.1,43.81,42.78,42.89,40.85,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.125
203,10,no,40,0,1,0.175,0.25,0.1375,-0.175,34.66666667,39,15,8.75,6.944444444,402.7777778,0.157986111,0.55,0.55,0,0,0,0,0.525,0,0,0.525,0.525,1805.2445,1.3460467,-3.719970703,1.003190945,0.218111383,611.1601394,0.393700787,0.564971751,0.424328147,0.373134328,0.352733686,0.276243094,0.302255289,338.3712048,1188.323366,0,0,0.14442317,0.156240095,0.149990284,0.132914982,0.116827895,0.139653148,0,0.376647834,0.424328147,0.373134328,0.264550265,0.220994475,0.209253662,1222.921218,5.6,14,0,0,0,0.02,0.01,0.01,0.06,0.11,5.43,0.094,0.094,0.096,0.096,0.096,0.097,0.099,0.102
204,49,no,41,10.608,1,0.4,0.3,0.175,-0.1,105,33,10,4.5,27.77777778,13.88888889,0.168402778,0.951219512,0.951219512,0,0,0,0,0.341463415,0,0,0.341463415,0.341463415,1870.8217,1.2671926,3.952270508,0.993171223,0.179389227,778.6628653,0.393700787,0.188323917,0.141442716,0.124378109,0.088183422,0.165745856,0.255754476,161.6695369,1306.521439,0,0,0,0.119217549,0.170927107,0.189293373,0.44788185,0.478985275,0,0,0.282885431,0.373134328,0.440917108,0.497237569,0.558009765,1314.264911,53,76,0,0,22.09,24.44,22.53,20.91,16.42,11.57,7.43,0.1,0.109,0.111,0.111,0.111,0.11,0.109,0.108
205,26,no,39,0.104,1,0.075,0.15,0.2375,-0.075,27.33333333,32,30,1.75,138.8888889,0,0.135416667,0,0,0,17.64102564,17.64102564,0,1.871794872,0,0,1.871794872,1.871794872,1878.5574,1.6438087,3.075317383,1.006746226,0.642744182,708.0785132,0.393700787,0.188323917,0.141442716,0.124378109,0.088183422,0.165745856,0.232504069,51.27420977,104.0623546,0,1.42442415,1.006351424,0.843358402,0.779885438,0.742880549,0.782675672,0.696219555,1.57480315,1.506591337,1.272984441,1.119402985,0.970017637,1.104972376,0.837014648,489.7263146,28,68,1,0,1.91,7.88,10.19,11.51,15.16,13.14,14.17,0.101,0.104,0.108,0.11,0.111,0.113,0.114,0.115
206,54,no,41,0.468,1,0.05,0.1,0.275,-0.05,66.33333333,31,10,4.25,111.1111111,48.61111111,0.178819444,0.463414634,0.463414634,0,8.658536585,8.658536585,0,0.073170732,0,0,0.073170732,0.073170732,1859.5573,2.4806411,0.873291016,1.00844447,0.277183219,832.3331392,0.393700787,0.188323917,0.141442716,0.124378109,0.176366843,0.331491713,0.209253662,63.28861286,270.0015848,0,0.365223629,0.484807661,0.556685917,0.652742209,0.600150398,0.486585729,0.377631492,1.181102362,0.564971751,0.848656294,0.995024876,0.970017637,0.718232044,0.534759358,282.7407518,30,56,1,0,0.07,0.42,0.76,0.93,1.96,4.19,12.65,0.109,0.105,0.106,0.107,0.107,0.108,0.108,0.111
207,7,no,31,64.584,2,0.7,0.5,0.8,0.35,14,45,20,4.125,395.8333333,34.72222222,0.170138889,0.225806452,0.225806452,0,0,0,0,0.193548387,0.129032258,0,0.193548387,0.322580645,1863.9279,1.2966133,0.628051758,0.993453004,0.980535154,2589.806593,0.393700787,0.188323917,0.141442716,0.124378109,0.088183422,0.055248619,0.139502441,265.2800425,310.3364789,0,0.636302818,0.650295714,0.589104921,0.560797091,0.559495917,0.534142479,0.412753149,1.181102362,1.129943503,0.848656294,0.746268657,0.705467372,0.773480663,0.651011393,286.2519339,1,1.3,1,66.67,43.79,38.03,38.01,38,38.17,36.11,25.61,0.128,0.122,0.121,0.121,0.121,0.122,0.121,0.119
208,53,no,41,4.836,1,0.5,0.5,0.25,0,17.33333333,41,10,2.75,111.1111111,166.6666667,0.206597222,0,0,0,11.87804878,11.87804878,0,1.146341463,0,0.024390244,1.12195122,1.146341463,1876.9708,0.74204361,1.547241211,1.00777568,0.207846897,2257.505215,0,0.188323917,0.141442716,0.124378109,0.088183422,0.276243094,0.139502441,70.78150646,81.05824341,3.771026561,0.788692079,0.655133672,0.58593054,0.555756274,0.668531893,0.632020803,0.605225343,1.181102362,0.941619586,0.848656294,0.746268657,1.14638448,0.939226519,0.6742618,148.6647251,28,15,1,0,34.87,39.13,38.32,37.53,36.59,38.01,33.25,0.112,0.123,0.124,0.124,0.124,0.124,0.124,0.122
209,26,no,44,26.78,2,0.925,1,0.925,-0.1,6.333333333,61,7,4.25,506.9444444,3083.333333,0,0.340909091,0.340909091,0,0,0,0,1.909090909,0.068181818,0.909090909,1,1.977272727,1882.8501,1.2057613,0.202026367,1.007175929,0.810494761,3866.955841,0.393700787,0.188323917,0.141442716,0.124378109,0.088183422,0.110497238,0.093001628,83.77195419,268.7479751,0,0.341416876,0.239929454,0.208725351,0.1960333,0.179062495,0.178922258,0.187642197,0.787401575,0.564971751,0.565770863,0.497512438,0.529100529,0.386740331,0.325505696,256.7358128,0.6,1.3,1,62.86,59.38,60.02,59.93,58.88,56.88,50.37,36.63,0.14,0.133,0.132,0.131,0.131,0.129,0.127,0.122
210,44,no,39,51.116,2,0.525,0.65,0.625,-0.1,21,20,15,17.875,291.6666667,62.5,0.196180556,0.051282051,0,0.051282051,0,0,0,0.974358974,0,0.282051282,0.692307692,0.974358974,1881.0367,1.4008329,-2.073486328,0.995802683,0.288950901,1580.820171,0,0,0,0.124378109,0.176366843,0.165745856,0.162752848,1392.235945,277.855402,0,0.463859434,0.83783327,1.073171286,1.095984161,1.177345558,1.258403019,0.929504626,1.181102362,0.941619586,1.131541726,1.119402985,1.14638448,0.994475138,0.860265055,286.4484202,2.6,9.3,1,5.41,11.92,13.35,12.91,12.67,13.06,14.62,14.19,0.14,0.127,0.123,0.122,0.121,0.12,0.12,0.119
211,5,yes,41,0.52,1,0.3,0.35,0.2875,-0.225,22.33333333,37,15,5,194.4444444,395.8333333,0.178819444,1.146341463,1.073170732,0.073170732,4.146341463,4.146341463,0,3.073170732,0,1.804878049,1.268292683,3.073170732,1888.204,0.75125551,-1.86315918,1.004787926,0.055028218,1389.867413,0.393700787,0.376647834,0.424328147,0.373134328,0.264550265,0.165745856,0.116252034,49.84065732,914.4096802,0,0,0.347604605,0.389111019,0.389355979,0.556242258,0.719656509,0.618599145,0,0,0.141442716,0.124378109,0.176366843,0.44198895,0.651011393,1333.110539,3,8.3,0,0,22.35,33.71,37.44,38.99,40.09,40.47,40.45,0.121,0.123,0.126,0.127,0.127,0.127,0.126,0.126
212,43,no,33,0,1,0.075,0.15,0.15,-0.05,76,33,30,4.75,0,0,0.199652778,0.242424242,0.242424242,0,0,0,0,0,0,0,0,0,1835.5508,0.41103527,0.207519531,1.00255141,0.314905923,1678.191784,0,0,0,0,0.264550265,0.220994475,0.209253662,623.6657952,909.0176497,0,0,0.502943393,0.51488203,0.500273439,0.618097389,0.672019476,0.472391046,0,0.376647834,0.565770863,0.497512438,0.793650794,0.773480663,0.581260172,927.6861049,94,97,1,0,0,0,0,0,0.05,0.03,1.03,0.095,0.096,0.095,0.095,0.095,0.096,0.096,0.098
213,53,no,31,0,1,0.1,0.2,0.1,-0.2,294,37,30,5.5,0,6.944444444,0.319444444,0.548387097,0.548387097,0,0,0,0,0.580645161,0,0,0.580645161,0.580645161,1858.7479,0.48626551,0.428833008,1.005799476,0.158816432,864.2423636,0.393700787,0.188323917,0.282885431,0.373134328,0.264550265,0.220994475,0.279004883,132.7877363,1504.71295,0,0,0,0,0.143049128,0.249219681,0.327973476,0.587980706,0,0,0,0.248756219,0.440917108,0.607734807,0.837014648,1552.875001,90,110,0,0,0,0,0,0,0,0,0,0.094,0.098,0.098,0.098,0.098,0.098,0.099,0.1
214,69,no,29,0,1,0.275,0.45,0.1125,-0.225,95,49,15,10.75,6.944444444,180.5555556,0.109375,0.344827586,0.344827586,0,0,0,0,0,0,0,0,0,1828.8887,2.2032032,-2.422363281,1.019866938,0.009695717,1887.5003,0,0,0,0,0.088183422,0.276243094,0.209253662,1445.247838,1366.869082,0,0,0,0.027466007,0.041172271,0.062349079,0.07077053,0.149995062,0,0,0.141442716,0.124378109,0.088183422,0.110497238,0.279004883,1387.445216,53,55,0,0,0,0,0.22,0.41,0.45,0.36,0.15,0.087,0.094,0.094,0.094,0.094,0.095,0.095,0.097
215,25,no,42,7.904,1,0.175,0.35,0.2375,-0.225,110.6666667,50,10,7,48.61111111,97.22222222,0.142361111,0,0,0,0,0,0,0.166666667,0,0,0.166666667,0.166666667,1818.1654,1.0098681,-0.169921875,1.000033296,0.86791055,1113.562995,0,0.188323917,0.141442716,0.124378109,0.176366843,0.165745856,0.302255289,800.0165407,1663.331928,0,0,0,0,0,0.107497049,0.12163703,0.103716253,0,0,0,0,0.176366843,0.165745856,0.139502441,1605.647793,74,91,0,0,0,0,0,0,0.01,0.01,0.12,0.093,0.091,0.09,0.091,0.091,0.091,0.092,0.096
