site,cam_number,cam_moved,sampling_period_length,canopy_cov,biotic_com_2,veg_cover_cam,veg_cover_cam_under_1m,veg_cover,veg_cover_diff,obs_dist,detection_angle,max_trig_dist,vertical_cover,tree_density_5_70,shrub_yucca_density,herbaceous_cov,pred_count_avg,coy_count_avg,bobcat_count_avg,livestock_count_avg,cow_count_avg,sheep_count_avg,lagomorph_count_avg,rodent_count_avg,cottontail_count_avg,jackrabbit_count_avg,prey_count_avg,elevation,slope,topo_pos,heat_load,aspect,dist_water_tank,water_tank_density_0_9km,water_tank_density_1_3km,water_tank_density_1_5_km,water_tank_density_1_6_km,water_tank_density_1_9_km,water_tank_density_2_4_km,water_tank_density_3_7_km,small_rd_dist,turbine_rd_dist,turbine_rd_density_0_1km,turbine_rd_density_0_9km,turbine_rd_density_1_3km,turbine_rd_density_1_5km,turbine_rd_density_1_6km,turbine_rd_density_1_9km,turbine_rd_density_2_4km,turbine_rd_density_3_7km,turbine_density_0_9km,turbine_density_1_3km,turbine_density_1_5km,turbine_density_1_6km,turbine_density_1_9km,turbine_density_2_4km,turbine_density_3_7km,turbine_dist,50cm_turbine_vis,150cm_turbine_vis,turbine_interior,woodland_percent_0_1km,woodland_percent_0_9km,woodland_percent_1_3km,woodland_percent_1_5km,woodland_percent_1_6km,woodland_percent_1_9km,woodland_percent_2_4km,woodland_percent_3_7km,NDVI_0_1km,NDVI_0_9km,NDVI_1_3km,NDVI_1_5km,NDVI_1_6km,NDVI_1_9km,NDVI_2_4km,NDVI_3_7km
71,21,yes,40,29.64,2,0.475,0.45,0.725,0,12.33333333,40,10,16,444.4444444,423.6111111,0.173611111,0.225,0.075,0.15,15.025,15.025,0,0.45,0,0.4,0.05,0.45,1878.3485,2.9472408,-8.200195313,1.016042589,0.697162043,1800.512154,0,0,0,0,0.176366843,0.165745856,0.116252034,255.865601,154.824848,0,1.906713164,1.618145905,1.632270956,1.563712736,1.373257657,1.224218145,0.936125355,1.181102362,1.129943503,1.131541726,0.995024876,1.058201058,1.049723757,0.813764241,389.9745082,3,7.6,1,2.86,4.11,3.35,3.89,4.51,6.94,11.92,19.37,0.142,0.122,0.119,0.119,0.119,0.12,0.122,0.123
72,12,no,50,30.16,2,0.75,0.75,0.975,0.05,8,57,10,1.25,902.7777778,381.9444444,0.034722222,0,0,0,0,0,0,1.98,0,0.22,1.76,1.98,1890.7513,1.1578041,-0.114746094,1.006284869,0.006426866,1223.701585,0,0.188323917,0.141442716,0.124378109,0.264550265,0.220994475,0.139502441,552.8727484,372.2100086,0,1.50845457,1.554229309,1.444511302,1.427645777,1.253657712,1.008086313,0.809465901,0.787401575,0.941619586,1.131541726,1.119402985,1.14638448,0.773480663,0.720762613,616.8041181,0.3,1,1,100,34.86,22.84,20.08,19.65,18.57,17.49,17.91,0.135,0.125,0.123,0.124,0.124,0.124,0.123,0.121
73,19,no,31,17.108,2,0.925,1,0.525,-0.2,9.333333333,41,12,4.75,215.2777778,83.33333333,0.177083333,1.612903226,0.032258065,1.580645161,5.225806452,3.129032258,0,2.35483871,0,0.516129032,1.838709677,2.35483871,1909.3302,1.2091,-4.522460938,0.993472579,0.025949506,1010.717552,0,0.376647834,0.282885431,0.248756219,0.264550265,0.220994475,0.162752848,98.83093716,1269.037431,0,0,0.011401122,0.042217702,0.143983298,0.341398749,0.485100336,0.648035208,0,0.188323917,0.141442716,0.248756219,0.264550265,0.331491713,0.581260172,1276.327289,3,7.3,0,20,33.92,29.12,27.78,27.37,27.38,32.09,33.54,0.119,0.125,0.125,0.125,0.125,0.125,0.126,0.127
74,44,no,41,21.268,2,0.675,0.6,0.525,0.1,8.333333333,26,7,4.75,520.8333333,194.4444444,0.036458333,0.146341463,0.146341463,0,10.85365854,10.85365854,0,1.951219512,0,0.243902439,1.707317073,1.951219512,1897.7411,1.4060932,-0.862304688,1.00403066,0.525515945,150.4529076,0.393700787,0.376647834,0.282885431,0.248756219,0.176366843,0.165745856,0.162752848,97.10181027,986.3455596,0,0,0.369848459,0.387829315,0.410857535,0.456845306,0.474516861,0.585170623,0,0,0,0,0.176366843,0.331491713,0.534759358,1612.053605,1,1,0,50,53.8,51.19,50.24,49.26,44.46,38.28,31.43,0.128,0.128,0.128,0.129,0.129,0.129,0.128,0.126
75,4,no,40,22.412,2,0.5,0.5,0.6,-0.05,17.33333333,32,10,2,319.4444444,437.5,0.147569444,0.25,0.25,0,1.45,1.45,0,2.075,0,0,2.075,2.075,1877.8704,1.1147957,-1.216674805,1.011316076,0.223322861,383.4807721,0.787401575,0.376647834,0.282885431,0.248756219,0.176366843,0.165745856,0.162752848,889.8733098,491.0413754,0,1.081664749,1.015709851,0.862472036,0.800678389,0.70684804,0.685371289,0.726727406,1.181102362,0.941619586,0.848656294,0.746268657,0.793650794,0.662983425,0.6742618,474.6584858,1.3,3.3,1,6.25,5.59,5.73,7.97,9.47,14.49,18.28,17.7,0.124,0.119,0.118,0.118,0.119,0.119,0.119,0.118
76,2,no,50,0,1,0.025,0.05,0.025,-0.05,81.33333333,54,20,3.125,13.88888889,97.22222222,0.217013889,0.12,0.12,0,15.78,15.78,0,3.58,0,0,3.58,3.58,1859.0602,1.2551217,-2.991699219,1.007490072,0.497284085,1700.776567,0,0,0,0,0.176366843,0.165745856,0.279004883,445.0667967,438.8316178,0,0.633108468,0.556256987,0.560346909,0.567870107,0.612141741,0.597046448,0.620130132,0.393700787,0.376647834,0.424328147,0.373134328,0.617283951,0.773480663,0.558009765,765.5432076,26,50,1,0,0.04,0.19,0.48,0.63,1.29,3.02,9.62,0.105,0.106,0.107,0.108,0.108,0.108,0.109,0.111
77,58,no,45,0,1,0.325,0.4,0.25,-0.05,38,31,15,4.25,152.7777778,118.0555556,0.180555556,0.355555556,0.355555556,0,0,0,0,0.244444444,0,0,0.244444444,0.244444444,1880.6234,1.4179033,1.231445313,0.996929007,0.298691847,319.1638914,0.393700787,0.188323917,0.141442716,0.124378109,0.088183422,0.110497238,0.162752848,355.9525471,324.3886094,0,1.875218152,1.262595562,1.088723065,1.017346769,0.924797907,0.896553111,0.863002918,1.968503937,1.506591337,1.272984441,1.119402985,1.058201058,0.939226519,0.813764241,692.6750344,9,15.3,1,0,11.12,18.41,19.87,20.34,20.19,17.27,10.92,0.12,0.122,0.122,0.121,0.121,0.122,0.12,0.114
78,8,no,40,23.14,2,0.375,0.5,0.7375,-0.075,16.66666667,36,10,17.5,493.0555556,826.3888889,0.121527778,0.375,0,0.375,0,0,0,10.5,0,2.375,8.125,10.5,1905.7188,0.36661631,-0.583129883,1.00586776,0.907522873,2335.767197,0,0,0,0,0,0.110497238,0.093001628,265.2239581,383.9909928,0,0.595122325,0.708079832,0.674474493,0.736124415,0.683944514,0.668934604,0.560512273,0,0.188323917,0.282885431,0.248756219,0.352733686,0.386740331,0.418507324,1141.125605,1,9.3,0,30.56,48.32,37.93,34.05,32.86,30.34,30.26,35.64,0.14,0.131,0.127,0.127,0.127,0.126,0.126,0.128
80,48,no,31,0,1,0.025,0.05,0.0375,-0.075,500,31,20,2.5,0,0,0.1875,0,0,0,2.64516129,0,0,0,0,0,0,0,1848.5453,3.2401283,4.643676758,0.987960998,0.593669289,247.5035061,2.362204724,1.129943503,0.99009901,0.870646766,0.617283951,0.44198895,0.255754476,359.388584,271.184711,0,0.504006224,0.31718724,0.266668791,0.246942815,0.20157567,0.160648733,0.148172005,0,0,0,0,0,0.055248619,0.116252034,2372.449073,52,76,0,0,0,0,0,0,0,0,0.03,0.097,0.1,0.099,0.099,0.099,0.098,0.098,0.098
81,8,no,35,0,1,0.625,0.75,0.1,-0.2,10.66666667,54,15,7.5,6.944444444,256.9444444,0.230902778,0,0,0,95.54285714,0,0,0.714285714,0,0,0.714285714,0.714285714,1852.9666,2.031343,-0.514282227,0.993262101,0.480373416,1606.253579,0,0,0,0,0.176366843,0.165745856,0.279004883,669.8759924,424.2827884,0,0.323546616,0.252242429,0.227319511,0.215397824,0.31515441,0.447526317,0.448178275,0.787401575,0.564971751,0.424328147,0.373134328,0.264550265,0.44198895,0.465008138,412.2015696,55,78,0,0,0,0,0,0,0.07,0.11,1.51,0.107,0.102,0.101,0.101,0.101,0.101,0.102,0.104
